"Item type","Authors","Title","Publication year","Publisher","Date published","Date accessed","URLs","DOI","Abstract","Keywords","Notes","Status","Series"
"Conference Paper","Munich) MW,of Regensburg) NH,Munich) AS,Munich) SS","Automating Contextual Privacy Policies: Design and Evaluation of a Production Tool for Digital Consumer Privacy Awareness","2022","","2022","","http://dx.doi.org/10.1145/3491102.3517688","10.1145/3491102.3517688","Users avoid engaging with privacy policies because they are lengthy and complex, making it challenging to retrieve relevant information. In response, research proposed contextual privacy policies (CPPs) that embed relevant privacy information directly into their affiliated contexts. To date, CPPs are limited to concept showcases. This work evolves CPPs into a production tool that automatically extracts and displays concise policy information. We first evaluated the technical functionality on the US's 500 most visited websites with 59 participants. Based on our results, we further revised the tool to deploy it in the wild with 11 participants over ten days. We found that our tool is effective at embedding CPP information on websites. Moreover, we found that the tool's usage led to more reflective privacy behavior, making CPPs powerful in helping users understand the consequences of their online activities. We contribute design implications around CPP presentation to inform future systems design.","Full Paper","","published",""
"Conference Paper","Munich) MW,Munich) SS,University) LZ,Munich) AS,of Technology) PW","It Is Not Always Discovery Time: Four Pragmatic Approaches in Designing AI Systems","2022","","2022","","http://dx.doi.org/10.1145/3491102.3501943","10.1145/3491102.3501943","While systems that use Artificial Intelligence (AI) are increasingly becoming part of everyday technology use, we do not fully understand how AI changes design processes. A structured understanding of how designers work with AI is needed to improve the design process and educate future designers. To that end, we conducted interviews with designers who participated in projects which used AI. While past work focused on AI systems created by experienced designers, we focus on the perspectives of a diverse sample of interaction designers. Our results show that the design process of an interactive system is affected when AI is integrated and that design teams adapt their processes to accommodate AI. Based on our data, we contribute four approaches adopted by interaction designers working with AI: a priori, post-hoc, model-centric, and competence-centric. Our work contributes a pragmatic account of how design processes for AI systems are enacted.","Full Paper","","published",""
"Conference Paper","Tobias Drey (Institute of Media Informatics UU,Patrick Albus (Institute of Psychology + Education UU,Simon der Kinderen (Institute of Media Informatics UU,Maximilian Milo (Institute of Media Informatics UU,Thilo Segschneider (Institute of Media Informatics UU,Linda Chanzab (Institute of Media Informatics UU,Michael Rietzler (Institute of Media Informatics UU,Tina Seufert (Institute of Psychology + Education UU,Enrico Rukzio (Institute of Media Informatics UU","Towards Collaborative Learning in Virtual Reality: A Comparison of Co-Located Symmetric and Asymmetric Pair-Learning","2022","","2022","2022-04-30","http://dx.doi.org/10.1145/3491102.3517641","10.1145/3491102.3517641","Pair-learning is beneficial for learning outcome, motivation, and social presence, and so is virtual reality (VR) by increasing immersion, engagement, motivation, and interest of students. Nevertheless, there is a research gap if the benefits of pair-learning and VR can be combined. Furthermore, it is not clear which influence it has if only one or both peers use VR. To investigate these aspects, we implemented two types of VR pair-learning systems, a symmetric system with both peers using VR and an asymmetric system with one using a tablet. In a user study (N=46), the symmetric system statistically significantly provided higher presence, immersion, player experience, and lower intrinsic cognitive load, which are all important for learning. Symmetric and asymmetric systems performed equally well regarding learning outcome, highlighting that both are valuable learning systems. We used these findings to define guidelines on how to design co-located VR pair-learning applications, including characteristics for symmetric and asymmetric systems.","Full Paper","","published",""
"Conference Paper","Yasmeen Abdrabou (Bundeswehr University Munich Uof,Munich) JS,Egypt) AS,Ken Pfeuffer (Aarhus University BU,of Bayreuth) DB,of Glasgow) MK,Munich) FA","""Your Eyes Tell You Have Used This Password Before"": Identifying Password Reuse from Gaze and Keystroke Dynamics","2022","","2022","2022-04-30","http://dx.doi.org/10.1145/3491102.3517531","10.1145/3491102.3517531","A significant drawback of text passwords for end-user authentication is password reuse. We propose a novel approach to detect password reuse by leveraging gaze as well as typing behavior and study its accuracy. We collected gaze and typing behavior from 49 users while creating accounts for 1) a webmail client and 2) a news website. While most participants came up with a new password, 32% reported having reused an old password when setting up their accounts. We then compared different ML models to detect password reuse from the collected data. Our models achieve an accuracy of up to 87.7% in detecting password reuse from gaze, 75.8% accuracy from typing, and 88.75% when considering both types of behavior. We demonstrate that revisedusing gaze, password reuse can already be detected during the registration process, before users entered their password. Our work paves the road for developing novel interventions to prevent password reuse.","Full Paper","","published",""
"Conference Paper","Sarah Prange (University of the Bundeswehr Munich LM,the Bundeswehr Munich) SD,Munich) TD,the Bundeswehr Munich) FA","""Where did you first meet the owner?'' -- Exploring Usable Authentication for Smart Home Visitors","2022","","2022","2022-04-30","http://dx.doi.org/10.1145/3491101.3519777","10.1145/3491101.3519777","Visitors in smart homes might want to use certain device features, as far as permitted by the device owner (e.g., streaming music on a smart speaker). At the same time, protecting access to features from attackers is crucial, motivating a need for authentication. However, it is unclear if and how smart home visitors should authenticate as they usually do not have access to respective interfaces. We explore considerations for the design of authentication for visitors evolving around, e.g., the visitors themselves as well as the environment and concrete mechanisms. Moreover, we suggest a concrete idea: security questions to authenticate visitors in smart homes. In an interview study (N=24), we found that owners and visitors appreciated the low effort and would adapt our approach. We conclude with future research directions that we hope will spark further discussions around the design of authentication for smart homes, considering visitors and owners alike.","Late Breaking Work","","published",""
"Conference Paper","Munich) VV,Sarah Prange (University of the Bundeswehr Munich LM,the Bundeswehr Munich) FA","PriCheck - An Online Assistant for Smart Device Purchases","2022","","2022","","http://dx.doi.org/10.1145/3491101.3519827","10.1145/3491101.3519827","In this paper, we present PriCheck, a browser extension that provides privacy-relevant information about smart devices (e.g., in an online shop). This information is oftentimes hidden, difficult to access, and, thus, often neglected when buying a new device. With PriCheck, we enable users to make informed purchase decisions. We conducted an exploratory study using the browser extension in a simplified (mock) online shop for smart devices. Participants chose devices with and without using the extension. We found that participants (N = 11) appreciated the usability and available information of PriCheck, helping them with informed decisions for privacy-preserving products. We hope our work will stimulate further discussion on how to make privacy information for novel products available, understandable, and easy to access for users.","Late Breaking Work","","published",""
"Conference Paper","Katta Spiel (Human-Computer Interaction Group TU,Weimar) EH,of Florida) RM,of Sussex) JG","ADHD and Technology Research -- Investigated by Neurodivergent Readers","2022","","2022","","http://dx.doi.org/10.1145/3411764.3445196","10.1145/3411764.3445196","Technology research for neurodivergent conditions is largely shaped by research aims which privilege neuro-normative outcomes. As such, there is an epistemic imbalance in meaning making about these technologies. We conducted a critical literature review of technologies designed for people with ADHD, focusing on how ADHD is framed, the research aims and approaches, the role of people with ADHD within the research process, and the types of systems being developed within Computing and HCI. Our analysis and review is conducted explicitly from an insider perspective, bringing our perspectives as neurodivergent researchers to the topic of technologies in the context of ADHD. We found that 1) technologies are largely used to `mitigate' the experiences of ADHD which are perceived as disruptive to neurotypical standards of behaviour; 2) little HCI research in the area invites this population to co-construct the technologies or to leverage neurodivergent experiences in the construction of research aims; and 3) participant resistance to deficit frames can be read within the researchers' own accounts of participant actions. We discuss the implications of this status quo for disabled people and technology researchers alike, and close with a set of recommendations for future work in this area.","Full Paper","","published",""
"Conference Paper","Emanuela Marchetti (SDU Syddansk Universitet Odense D,Sophie Grimme (OFFIS Oldenburg BU,Weimar) EH,Chemnitz) PG","Pet-Robot or Appliance? Care Home Residents with Dementia Respond to a Zoomorphic Floor Washing Robot","2022","","2022","","http://dx.doi.org/10.1145/3491102.3517463","10.1145/3491102.3517463","Any active entity that shares space with people is interpreted as a social actor. Based on this notion, we explore how robots that integrate functional utility with a social role and character can integrate meaningfully into daily practice. Informed by interviews and observations, we designed a zoomorphic floor cleaning robot which playfully interacts with care home residents affected by dementia. A field study shows that playful interaction can facilitate the introduction of utilitarian robots in care homes, being nonthreatening and easy to make sense of. Residents previously reacted with distress to a Roomba robot, but were now amused by and played with our cartoonish cat robot or simply tolerated its presence. They showed awareness of the machine-nature of the robot, even while engaging in pretend-play. A playful approach to the design of functional robots can thus explicitly conceptualize such robots as social actors in their context of use.","Full Paper","","published",""
"Conference Paper","Evgeny Stemasov (Institute of Media Informatics UU,Tobias Wagner (Institute of Media Informatics UU,Jan Gugenheimer (Télécom Paris - LTCI IP,Enrico Rukzio (Institute of Media Informatics UU","ShapeFindAR: Exploring In-Situ Spatial Search for Physical Artifact Retrieval using Mixed Reality","2022","","2022","","http://dx.doi.org/10.1145/3491102.3517682","10.1145/3491102.3517682","Personal fabrication is made more accessible through repositories like Thingiverse, as they replace modeling with retrieval. However, they require users to translate spatial requirements to keywords, which paints an incomplete picture of physical artifacts: proportions or morphology are non-trivially encoded through text only. We explore a vision of in-situ spatial search for (future) physical artifacts, and present ShapeFindAR, a mixed-reality tool to search for 3D-models using in-situ sketches blended with textual queries. With ShapeFindAR, users search for geometry, and not necessarily precise labels, while coupling the search process to the physical environment (e.g., by sketching in-situ, extracting search terms from objects present, or tracing them). We developed ShapeFindAR for HoloLens 2, connected to a database of 3D-printable artifacts. We specify in-situ spatial search, describe its advantages, and present walkthroughs using ShapeFindAR, which highlight novel ways for users to articulate their wishes, without requiring complex modeling tools or profound domain knowledge.","Full Paper","","published",""
"Conference Paper","Munich) JL,Munich) FF,Group) SC,Munich) AB","Towards Balancing Real-World Awareness and VR Immersion in Mobile VR","2022","","2022","","http://dx.doi.org/10.1145/3491101.3519824","10.1145/3491101.3519824","Virtual Reality (VR) can be used to create immersive infotainment experiences for car passengers. However, not much is known about how to best incorporate the essentials of their surroundings for balancing real-world awareness and immersion. To address this gap, we explored 2D and 3D visual cues of the rear-seat space to notify passengers about different real-world tasks (lower armrest, take cup, close window, and hold handle) during a first-person game in VR. Results from our pilot study (n=19) show that users perceive a lower workload in the task hold handle than all other tasks. They also feel more immersed in VR after completing this task, compared to take cup and close window. Based on our findings, we propose real-world task types, synchronous visual cues, and various input and transition approaches as promising future research directions.","Late Breaking Work","","published",""
"Conference Paper","of Stuttgart) AS,of Stuttgart) NH,of Stuttgart) NB,of Stuttgart) VB,of Stuttgart) MS","cARdLearner: Using Expressive Virtual Agents when Learning Vocabulary in Augmented Reality","2022","","2022","2022-04-30","http://dx.doi.org/10.1145/3491101.3519631","10.1145/3491101.3519631","Augmented reality (AR) has a diverse range of applications, including language teaching. When studying a foreign language, one of the biggest challenges learners face is memorizing new vocabulary. While augmented holograms are a promising means of supporting this memorization process, few studies have explored their potential in the language learning context. We demonstrate the possibility of using flashcard along with an expressive holographic agent on vocabulary learning. Users scan a flashcard and play an animation that is connected with an emotion related to the word they are seeing. Our goal is to propose an alternative to the traditional use of flashcards, and also introduce another way of using AR in the association process.","Late Breaking Work","","published",""
"Conference Paper","Natalie Hube (Mercedes-Benz AG Uof,Kresimir Vidackovic (Hochschule der Medien Uof,of Stuttgart) MS","Using Expressive Avatars to Increase Emotion Recognition: A Pilot Study","2022","","2022","","http://dx.doi.org/10.1145/3491101.3519822","10.1145/3491101.3519822","Virtual avatars are widely used for collaborating in virtual environments. Yet, often these avatars lack expressiveness to determine a state of mind. Prior work has demonstrated effective usage of determining emotions and animated lip movement through analyzing mere audio tracks of spoken words. To provide this information on a virtual avatar, we created a natural audio data set consisting of 17 audio files from which we then extracted the underlying emotion and lip movement. To conduct a pilot study, we developed a prototypical system that displays the extracted visual parameters and then maps them on a virtual avatar while playing the corresponding audio file. We tested the system with 5 participants in two conditions: (i) while seeing the virtual avatar only an audio file was played and (ii). In addition to the audio file, the extracted facial visual parameters were displayed on the virtual avatar. Our results suggest the validity of using additional visual parameters in the avatars' face as it helps to determine emotions. We conclude with a brief discussion on the outcomes and their implications on future work.","Late Breaking Work","","published",""
"Conference Paper","of Darmstadt) AM,Munich) FM,of Darmstadt) DS,of Darmstadt) RF,of Darmstadt) SA,of Darmstadt) YL,of Darmstadt) MM","E-ScootAR: Exploring Unimodal Warnings for E-Scooter Riders in Augmented Reality","2022","","2022","","http://dx.doi.org/10.1145/3491101.3519831","10.1145/3491101.3519831","Micro-mobility is becoming a more popular means of transportation. However, this increased popularity brings its challenges. In particular, the accident rates for E-Scooter riders increase, which endangers the riders and other road users. In this paper, we explore the idea of augmenting E-Scooters with unimodal warnings to prevent collisions with other road users, which include Augmented Reality (AR) notifications, vibrotactile feedback on the handlebar, and auditory signals in the AR glasses. We conducted an outdoor experiment (N = 13) using an Augmented Reality simulation and compared these types of warnings in terms of reaction time, accident rate, and feeling of safety. Our results indicate that AR and auditory warnings lead to shorter reaction times, have a better perception, and create a better feeling of safety than vibrotactile warnings. Moreover, auditory signals have a higher acceptance by the riders compared to the other two types of warnings.","Late Breaking Work","","published",""
"Conference Paper","of Darmstadt) AM,Munich) FM,of Darmstadt) DS,of Darmstadt) PS,of Darmstadt) SG,of Darmstadt) MM","BikeAR: Understanding Cyclists’ Crossing Decision-Making at Uncontrolled Intersections using Augmented Reality","2022","","2022","","http://dx.doi.org/10.1145/3491102.3517560","10.1145/3491102.3517560","Cycling has become increasingly popular as a means of transportation. However, cyclists remain a highly vulnerable group of road users. According to accident reports, one of the most dangerous situations for cyclists are uncontrolled intersections, where cars approach from both directions. To address this issue and assist cyclists in crossing decision-making at uncontrolled intersections, we designed two visualizations that: (1) highlight occluded cars through an X-ray vision and (2) depict the remaining time the intersection is safe to cross via a Countdown. To investigate the efficiency of these visualizations, we proposed an Augmented Reality simulation as a novel evaluation method, in which the above visualizations are represented as AR, and conducted a controlled experiment with 24 participants indoors. We found that the X-ray ensures a fast selection of shorter gaps between cars, while the Countdown facilitates a feeling of safety and provides a better intersection overview.","Full Paper","","published",""
"Conference Paper","of Darmstadt) AM,Munich) FM,of Darmstadt) MZ,of Darmstadt) LG,of Darmstadt) JA,of Darmstadt) TS,of Darmstadt) MM","Reducing Virtual Reality Sickness for Cyclists in VR Bicycle Simulators","2022","","2022","","http://dx.doi.org/10.1145/3491102.3501959","10.1145/3491102.3501959","Virtual Reality (VR) bicycle simulations aim to recreate the feeling of riding a bicycle and are commonly used in many application areas. However, current solutions still create mismatches between the visuals and physical movement, which causes VR sickness and diminishes the cycling experience. To reduce VR sickness in bicycle simulators, we conducted two controlled lab experiments addressing two main causes of VR sickness: (1) steering methods and (2) cycling trajectory. In the first experiment (N = 18) we compared handlebar, HMD, and upper-body steering methods. In the second experiment (N = 24) we explored three types of movement in VR (1D, 2D, and 3D trajectories) and three countermeasures (airflow, vibration, and dynamic Field-of-View) to reduce VR sickness. We found that handlebar steering leads to the lowest VR sickness without decreasing cycling performance and airflow suggests to be the most promising method to reduce VR sickness for all three types of trajectories.","Full Paper","","published",""
"Conference Paper","of Darmstadt) AM,Munich) FM,of Darmstadt) MS,of Darmstadt) MF,of Darmstadt) MM","SkyPort: Investigating 3D Teleportation Methods in Virtual Environments","2022","","2022","2022-04-30","http://dx.doi.org/10.1145/3491102.3501983","10.1145/3491102.3501983","Teleportation has become the de facto standard of locomotion in Virtual Reality (VR) environments. However, teleportation with parabolic and linear target aiming methods is restricted to horizontal 2D planes and it is unknown how they transfer to the 3D space. In this paper, we propose six 3D teleportation methods in virtual environments based on the combination of two existing aiming methods (linear and parabolic) and three types of transitioning to a target (instant, interpolated and continuous). To investigate the performance of the proposed teleportation methods, we conducted a controlled lab experiment (N = 24) with a mid-air coin collection task to assess accuracy, efficiency and VR sickness. We discovered that the linear aiming method leads to faster and more accurate target selection. Moreover, a combination of linear aiming and instant transitioning leads to the highest efficiency and accuracy without increasing VR sickness.","Full Paper, Honorable Mention","","published",""
"Conference Paper","of Bremen) FP,of Bremen) SP,of Bremen) MS,Institute) CM,Institute) ES","Understanding HCI Practices and Challenges of Experiment Reporting with Brain Signals: Towards Reproducibility and Reuse","2022","","2022","","http://dx.doi.org/10.1145/3490554","10.1145/3490554","In HCI, there has been a push towards open science, but to date, this has not happened consistently for HCI research utilizing brain signals due to unclear guidelines to support reuse and reproduction. To understand existing practices in the field, this paper examines 110 publications, exploring domains, applications, modalities, mental states and processes, and more. This analysis reveals variance in how authors report experiments, which creates challenges to understand, reproduce, and build on that research. It then describes an overarching experiment model that provides a formal structure for reporting HCI research with brain signals, including definitions, terminology, categories, and examples for each aspect. Multiple distinct reporting styles were identified through factor analysis and tied to different types of research. The paper concludes with recommendations and discusses future challenges. This creates actionable items from the abstract model and empirical observations to make HCI research with brain signals more reproducible and reusable.","Journal","","published",""
"Conference Paper","of Glasgow) KM,Munich) AK,Schallkultur) AW,Munich) JK,Munich) MH,of Technology) PW,Darmstadt) MM,University) TK","Intelligent Music Interfaces: When Interactive Assistance and Augmentation Meet Musical Instruments","2022","","2022","","http://dx.doi.org/10.1145/3491101.3503743","10.1145/3491101.3503743","The interactive augmentation of musical instruments to foster self-expressiveness and learning has a rich history. Over the past decades, the incorporation of interactive technologies into musical instruments emerged into a new research field requiring strong collaboration between different disciplines. The workshop ""Intelligent Music Interfaces"" consequently covers a wide range of musical research subjects and directions, including (a) current challenges in musical learning, (b) prototyping for improvements, (c) new means of musical expression, and (d) evaluation of the solutions.","Workshop","","published",""
"Conference Paper","Tuk) DQ,Iannis Albert (Technische Universität Kaiserslautern TUK Uof,Tuk) PZ,Tuk) NB,Georg Volkmar (Digital Media Lab Uof,Bastian Dänekas (Digital Media Lab Uof,Rainer Malaka (Digital Media Lab Uof,Marc Herrlich (Technische Universität Kaiserslautern TUK D","SpiderClip: Towards an Open Source System for Wearable Device Simulation in Virtual Reality","2022","","2022","2022-04-30","http://dx.doi.org/10.1145/3491101.3519758","10.1145/3491101.3519758","Smartwatches and fitness trackers integrate different sensors from inertial measurement units to heart rate sensors in a very compact and affordable form factor. This makes them interesting and relevant research tools. One potential application domain is virtual reality, e.g., for health related applications such as exergames or simulation approaches. However, commercial devices complicate and limit the collection of raw and real-time data, suffer from privacy issues and are not tailored to using them with VR tracking systems. We address these issues with an open source design to facilitate the construction of VR-enabled wearables for conducting scientific experiments. Our work is motivated by research in mixed realities in pervasive computing environments. We introduce our system and present a proof-of-concept study with 17 participants. Our results show that the wearable reliably measures high-quality data comparable to commercially available fitness trackers and that it does not impede movements or interfere with VR tracking.","Late Breaking Work","","published",""
