Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Munich) NT,Munich) CG,of Freiburg) RH,Munich) HH","On Ubiquitous Technology, a Digital World and their Influence on People's Feeling and Control of Presence in Everyday Life",2021,,2021,http://dx.doi.org/10.1145/3411763.3451831,10.1145/3411763.3451831,"Ubiquitous technology, e.g., smartphones or tablets, has created a continuously available digital world, drastically changing our feeling of being in the here and now -- named presence. We thus increasingly shift between the real and the digital world, ranging from losing awareness of real surroundings to cutting out the digital world to truly be in the real one. In this work, we aim to explore the middle ground in between. We move beyond classic VR research on presence and look at everyday ubiquitous technology and its influence on presence in the real and digital world. By means of a focus group (N=6) and a subsequent online survey (N=36), we gathered individual notions of presence as well as experiences and situations in which people move between the worlds. We discuss the need to further explore presence and its dynamics across the real and digital worlds in everyday life."
"University) MT,University) MK,University) PS,University) BF,University) JS",Eyecam: Revealing Relations Between Humans and Sensing Devices Through an Anthropomorphic Webcam,2021,,2021,http://dx.doi.org/10.1145/1122445.1122456,10.1145/1122445.1122456,"We routinely surround ourselves with sensing devices. We get accustomed to them, appreciate their benefits, and even create affective bonds and might neglect the implications they might have for our daily life. By presenting EyeCam, an anthropomorphic webcam mimicking a human eye, we challenge conventional relationships with ubiquitous sensing devices and call to re-think how these look and act. Inspired by critical design, EyeCam is an exaggeration of a familiar sensing device which allows for critical reflections on its perceived functionalities and its impact on human-human and human-device relations. We identify 5 different roles EyeCam can take: Mediator, Observer, Mirror, Feature, and Agent. Contributing design fictions and thinking prompts, we allow for articulation on privacy awareness and intrusion, affect in mediated communication, agency and self-perception along with speculation on potential futures. We envision this work to contribute to a bold and responsible design of ubiquitous sensing devices."
"of Auckland) SM,of Auckland) MM,of Applied Sciences Lübeck) DM,University) JS,of Auckland) PS,of Auckland) SN",ClothTiles: Fabricating Customized Actuators on Textiles using 3D Printing and Shape-Memory Alloys,2021,,2021,http://dx.doi.org/10.1145/3411764.3445613,10.1145/3411764.3445613,"Emerging research has demonstrated the viability of on-textile actuation mechanisms, however, an easily customizable and versatile on-cloth actuation mechanism is yet to be explored. In this paper, we present ClothTiles along with its rapid fabrication technique that enables actuation of clothes. ClothTiles leverage flexible 3D-printing and Shape-Memory Alloys (SMAs) alongside new parametric actuation designs. We validate the concept of fabric actuation using a base element, and then systematically explore methods of aggregating, scaling, and orienting prospects for ex-tended actuation in garments. A user study demonstrated that our technique enables multiple actuation types applied across a variety of clothes. Users identified both aesthetic and functional applications of ClothTiles. We conclude with a number of insights for the Do-It-Yourself community on how to employ 3D-printing with SMAs to enable actuation on clothes."
"Felix Kosmalla (DFKI SI,Campus) FH,Anke Hirsch (DFKI SI,Florian Daiber (DFKI SI,Antonio Krüger (DFKI SI",VirtualLadder: Using Interactive Projections for Agility Ladder Training,2021,,2021,http://dx.doi.org/10.1145/3411763.3451638,10.1145/3411763.3451638,"Agility is the ability to change your body's position in a fast and efficient way while maintaining control of speed and direction. To develop this skill, the use of agility ladders is a widespread and well-known training method. While drills vary, having a human expert explaining and monitoring the exercises is usually advantageous. So far, only a few approaches to interactive systems for agility ladder training have been presented. In this work, we propose an interactive projection system to support an athlete in performing those drills. To investigate the effects of the location of those projections, we conducted an initial study with twelve participants using qualitative and quantitative methods. We found that while projecting instructions and feedback on the floor was favored, participants who were presented the same information in front of them on a projected screen partially performed better in a subsequent agility assessment."
"of Salzburg) VR,of Salzburg) TG,of Salzburg) AM,University) RP,Pompidou) WL,Florian Daiber (DFKI SI,Elise van den Hoven (University of Technology Sydney EU,University) FF",Out of Your Mind!? Embodied Interaction in Sports,2021,,2021,http://dx.doi.org/10.1145/3411763.3441329,10.1145/3411763.3441329,"People engage in sportive activities for reasons beyond improving their athletic performance. They also seek experiences like fun, adventure, a feeling of oneness, clear their heads, and flow. Since sport is a highly bodily experience, we argue that taking an embodied interaction perspective to inspire interaction design of sports systems is a promising direction in HCI research and practice. This workshop will address the challenges of designing interactive systems in the realm of sports from an embodied interaction perspective focusing on athletes' experience rather than performance. We will explore how interactive systems enhance sports experience without distracting from the actual goal of the athlete, such as freeing the mind. We will focus on several topics of interest such as sensory augmentation, augmented experience, multi-modal interaction, and motor learning in sports."
"Dmitry Alexandrovsky (University of Bremen DM,Susanne Putze (University of Bremen DM,of Applied Sciences) VS,University) ED,University) JD,Denise Kahl (German Research Center for Artificial Intelligence (DFKI) SI,Antonio Krüger (DFKI SI,Rainer Malaka (University of Bremen DM",Evaluating User Experiences in Mixed Reality,2021,,2021,http://dx.doi.org/10.1145/3411763.3441337,10.1145/3411763.3441337,"Measuring user experience in MR (i.e., AR/VR) user studies is essential. Researchers apply a wide range of measuring methods using objective (e.g., biosignals, time logging), behavioral (e.g., gaze direction, movement amplitude), and subjective (e.g., standardized questionnaires) metrics. Many of these measurement instruments were adapted from use-cases outside ofvMR, but have not been validated for usage in MR experiments. However, researchers are faced with various challenges and design alternatives when measuring immersive experiences. These challenges become even more diverse when running out-of-the lab studies. Measurement methods of VR experience received recently much attention. For example, research has started embedding questionnaires in the VE for various applications, as this allows users to stay closer to the ongoing experience while filling out the survey. However, there is a diversity in the interaction methods and practices on how the assessment procedure is conducted. This diversity in methods underlines a missing shared agreement of standardized measurement tools for VR experiences. AR research strongly orients on the research methods from VR, e.g., using the same type of subjective questionnaires. However, there are some crucial technical differences that require deliberate considerations during the evaluation. This workshop at CHI 2021 provides a foundation to exchange expertise and to address challenges as well as opportunities of research methods in MR user studies. By this, our workshop launches a discussion of research methods that should lead to standardizing assessment methods in MR user studies. The outcomes of the workshop will be aggregated into a collective special issue journal article."
"University) MB,of Bremen) JN,of Technology) MP,University) PW",The Development and Validation of the Technology-Supported Reflection Inventory,2021,ACM,2021,http://dx.doi.org/10.1145/3411764.3445673,10.1145/3411764.3445673,"Reflection is an often addressed design goal in Human-Computer Interaction (HCI) research. An increasing number of artefacts for reflection have been developed in recent years. However, evaluating if and how an interactive technology helps a user reflect is still complex. This makes it difficult to compare artefacts (or prototypes) for reflection, impeding future design efforts. To address this issue, we developed the Technology-Supported Reflection Inventory (TSRI), which is a scale that evaluates how effectively a system supports reflection. We first created a list of possible scale items based on past work in defining reflection. The items were then reviewed by experts. Next, we performed exploratory factor analysis to reduce the scale to its final length of nine items. Subsequently, we confirmed test-retest validity of our instrument, as well as its construct validity. The TSRI enables researchers and practitioners to compare prototypes designed to support reflection."
"University) MB,of Bremen) JN,University) PW",The Technology-Mediated Reflection Model: Barriers and Assistance in Data-Driven Reflection,2021,ACM,2021,http://dx.doi.org/10.1145/3411764.3445505,10.1145/3411764.3445505,"Current personal informatics models consider reflection as an important stage in users' journeys with trackers. However, these models describe reflection from a meta perspective and it remains unclear what this stage entails. To design interactive technologies that support reflection, we need a more thorough understanding of how people reflect on their personal data in practice. To that end, we conducted semi-structured interviews with users of fitness trackers and an online survey to study practices in reflecting on fitness data. Our results show that users reported reflecting on data despite lacking reflection support from their tracking technology. Based on our results, we introduce the Technology-Mediated Reflection Model, which describes conditions and barriers for reflection on personal data. Our model consists of the temporal and conceptual cycles of reflection and helps designers identify the possible barriers a user might face when using a system for reflection."
"University) PW,Zurich) MZ,- Bürger Electronic GmbH) FK,of Bremen) JN",Making Sense of Complex Running Metrics Using a Modified Running Shoe,2021,ACM,2021,http://dx.doi.org/10.1145/3411764.3445506,10.1145/3411764.3445506,"Running is a widely popular physical activity that offers many health benefits. As runners progress with their training, understanding one's own body becomes a key concern in achieving wellbeing through running. While extensive bodily sensing opportunities exist for runners, understanding complex sensor data is a challenge. In this paper, we investigate how data from shoe-worn sensors can be visualised to empower runners to improve their technique. We designed GraFeet---an augmented running shoe that visualises kinesiological data about the runner's feet and gait. We compared our prototype with a standard sensor dashboard in a user study where users ran with the sensor and analysed the generated data after the run. GraFeet was perceived as more usable; producing more insights and less confusion in the users. Based on our inquiry, we contribute findings about using data from body-worn sensors to support physically active individuals."
"München) AS,Munich) FA,Munich) VM",Evaluation in Human-Computer Interaction – Beyond Lab Studies,2021,ACM,2021,http://dx.doi.org/10.1145/3411763.3445022,10.1145/3411763.3445022,"Many research contributions in human-computer interaction are based on user studies in the lab. However, lab studies are not always possible, and they may come with significant challenges and limitations. In this course, we take a broader look at different approaches to doing research. We present a set of evaluation methods and research contributions that do not rely on user studies in labs. The discussion focuses on research approaches, data collection methods, and tools that can be conducted without direct interaction between the researchers and the participants."
"of Basel) SL,of Applied Sciences) CS,of Basel) FB,Lippstadt) VC,of Basel) KO,of Washington) KR",How WEIRD is CHI?,2021,ACM,2021,http://dx.doi.org/10.1145/3411764.3445488,10.1145/3411764.3445488,"Computer technology is often designed in technology hubs in Western countries, invariably making it ""WEIRD"", because it is based on the intuition, knowledge, and values of people who are Western, Educated, Industrialized, Rich, and Democratic. Developing technology that is universally useful and engaging requires knowledge about members of WEIRD and non-WEIRD societies alike. In other words, it requires us, the CHI community, to generate this knowledge by studying representative participant samples. To find out to what extent CHI participant samples are from Western societies, we analyzed papers published in the CHI proceedings between 2016-2020. Our findings show that 73% of CHI study findings are based on Western participant samples, representing less than 12% of the world's population. Furthermore, we show that most participant samples at CHI tend to come from industrialized, rich, and democratic countries with generally highly educated populations. Encouragingly, recent years have seen a slight increase in non-Western samples and those that include several countries. We discuss suggestions for further broadening the international representation of CHI participant samples."
"University) VK,of Moratuwa) DG,of Applied Sciences) CS,of Science HW,Technology),Bloomington) FM,of Washington) NK,(mit) PR,Tech) NK",Decolonizing HCI Across Borders,2021,,2021,http://dx.doi.org/10.1145/3411763.3441348,10.1145/3411763.3441348,"The HCI Across Borders (HCIxB) community has been growing in recent years, starting with the Development Consortium at CHI 2016 and the HCIxB Symposia at CHI 2017, 2018, and 2019. This year, we propose an HCIxB symposium that continues to foster scholarship potential of early-career HCIxB researchers across the world, particularly those from and in the Global South, engaging on the topic of decoloniality. Through this symposium, we aim to create the space for discussions that have been emerging in pockets of the HCI community but could benefit from greater attention in the interest of demarginalizing members and research areas of the community that have thus far been on the margins of HCI. We expect this virtual workshop at CHI 2021 to be the inaugural session for a series of virtual events to continue this conversation on decolonizing HCI's borders into individual subgroups."
"van Koningsbruggen R,Hengeveld B,Alexander J",Understanding the Design Space of Embodied Passwords Based on Muscle Memory,2021,Association for Computing Machinery,2021,http://dx.doi.org/10.1145/3411764.3445773,10.1145/3411764.3445773,"Passwords have become a ubiquitous part of our everyday lives, needed for every web-service and system. However, it is challenging to create safe and diverse alphanumeric passwords, and to recall them, imposing a cognitive burden on the user. Through consecutive experiments, we explored the movement space, affordances and interaction, and memorability of a tangible, handheld, embodied password. In this context, we found that: (1) a movement space of 200 mm texttimes 200 mm is preferred; (2) each context has a perceived level of safety, which—together with the affordances and link to familiarity—influences how the password is performed. Furthermore, the artefact’s dimensions should be balanced within the design itself, with the user, and the context, but there is a trade-off between the perceived safety and ergonomics; and (3) the designed embodied passwords can be recalled for at least a week, with participants creating unique passwords which were reproduced consistently."
"Munich) YM,Munich) HD,Munich) AB",Fake Moods: Can Users Trick an Emotion-Aware VoiceBot?,2021,,2021,https://www.medien.ifi.lmu.de;http://dx.doi.org/10.1145/3411763.3451744,10.1145/3411763.3451744,"The ability to deal properly with emotion could be a critical feature of future VoiceBots. Humans might even choose to use fake emotions, e.g., sound angry to emphasize what they are saying or sound nice to get what they want. However, it is unclear whether current emotion detection methods detect such acted emotions properly, or rather the true emotion of the speaker. We asked a small number of participants (26) to mimic five basic emotions and used an open source emotion-in-voice detector to provide feedback on whether their acted emotion was recognized as intended. We found that it was difficult for participants to mimic all five emotions and that certain emotions were easier to mimic than others. However, it remains unclear whether this is due to the fact that emotion was only acted or due to the insufficiency of the detection software. As an intended side effect, we collected a small corpus of labeled data for acted emotion in speech, which we plan to extend and eventually use as training data for our own emotion detection. We present the study setup and discuss some insights on our results."
Annika Kaltenhauser (Ergosign GmbH & LMU Munich) Nađa Terzimehić (LMU Munich) AB,MEMEography: Understanding Users Through Internet Memes,2021,,2021,https://www.medien.ifi.lmu.de;http://dx.doi.org/10.1145/3411763.3451581,10.1145/3411763.3451581,"In this paper, we propose a method we call MEMEography for HCI research to understand people and their interactional contexts from the remixed internet memes they post in internet communities. While memes might not be the most obvious choice of a research subject, they allow us to investigate unfamiliar domains even when access to the field is beyond reach. We describe an initial approach of data selection, collection, prioritization and analysis. In addition, we demonstrate the kinds of insights we can gain through MEMEographies by analyzing a corpus of memes in the intensive care unit (ICU) context posted 2020 on Instagram. ICU memes open up insights into the environment, work practices, challenges, emotions and familiarized us with ICU practitioners' language, even though access to an actual ICU was completely impossible during 2020."
,Creepy Technology: What Is It and How Do You Measure It?,2021,,2021,http://dx.doi.org/10.1145/3411764.3445299,10.1145/3411764.3445299,"Interactive technologies are getting closer to our bodies and permeate the infrastructure of our homes. While such technologies offer many benefits, they can also cause an initial feeling of unease in users. It is important for Human-Computer Interaction to manage first impressions and avoid designing technologies that appear creepy. To that end, we developed the Perceived Creepiness of Technology Scale (PCTS), which measures how creepy a technology appears to a user in an initial encounter with a new artefact. The scale was developed based on past work on creepiness and a set of ten focus groups conducted with users from diverse backgrounds. We followed a structured process of analytically developing and validating the scale. The PCTS is designed to enable designers and researchers to quickly compare interactive technologies and ensure that they do not design technologies that produce initial feelings of creepiness in users."
,Eliciting and Analysing Users’ Envisioned Dialogues with Perfect Voice Assistants,2021,,2021,http://dx.doi.org/10.1145/3411764.3445536,10.1145/3411764.3445536,"We present a dialogue elicitation study to assess how users envision conversations with a perfect voice assistant (VA). In an online survey, N=205 participants were prompted with everyday scenarios, and wrote the lines of both user and VA in dialogues that they imagined as perfect. We analysed the dialogues with text analytics and qualitative analysis, including number of words and turns, social aspects of conversation, implied VA capabilities, and the influence of user personality. The majority envisioned dialogues with a VA that is interactive and not purely functional; it is smart, proactive, and has knowledge about the user. Attitudes diverged regarding the assistant's role as well as it expressing humour and opinions. An exploratory analysis suggested a relationship with personality for these aspects, but correlations were low overall. We discuss implications for research and design of future VAs, underlining the vision of enabling conversational UIs, rather than single command ""Q&As""."
,Comparison of Different Types of Augmented Reality Visualizations for Instructions,2021,,2021,http://dx.doi.org/10.1145/3411764.3445724,10.1145/3411764.3445724,"Augmented Reality (AR) is increasingly being used for providing guidance and supporting troubleshooting in industrial settings. While the general application of AR has been shown to provide clear benefts regarding physical tasks, it is important to understand how different visualization types infuence user’s performance during the execution of the tasks. Previous studies evaluating AR and user’s performance compared different media types or types of AR hardware as opposed to different types of visualization for the same hardware type. This paper provides details of our comparative study in which we identifed the infuence of visualization types on the performance of complex machine set-up processes. Although our results show clear advantages to using concrete rather than abstract visualizations, we also fnd abstract visualizations coupled with videos leads to similar user performance as with concrete visualizations."
"Veronika Krauß (Fraunhofer FIT US,Alexander Boden (Fraunhofer FIT HB,Fit) LO,Fit) RR","Current Practices, Challenges, and Design Implications for Collaborative AR/VR Application Development",2021,,2021,http://dx.doi.org/10.1145/3411764.3445335,10.1145/3411764.3445335,"Augmented/Virtual Reality (AR/VR) is still a fragmented space to design for due to the rapidly evolving hardware, the interdisciplinarity of teams, and a lack of standards and best practices. We interviewed 26 professional AR/VR designers and developers to shed light on their tasks, approaches, tools, and challenges. Based on their work and the artifacts they generated, we found that AR/VR application creators fulfill four roles: concept developers, interaction designers, content authors, and technical developers. One person often incorporates multiple roles and faces a variety of challenges during the design process from the initial contextual analysis to the deployment. From analysis of their tool sets, methods, and artifacts, we describe critical key challenges. Finally, we discuss the importance of prototyping for the communication in AR/VR development teams and highlight design implications for future tools to create a more usable AR/VR tool chain."
Thomas Weber (LMU Munich) Christina Winiker (LMU Munich) HH,A Closer Look at Machine Learning Code,2021,,2021,http://dx.doi.org/10.1145/3411763.3451679,10.1145/3411763.3451679,"""Software using Machine Learning algorithms is becoming ever more ubiquitous making it equally important to have good development processes and practices. Whether we can apply insights from software development research remains open though, since it is not yet clear, whether data-driven development has the same requirements as its traditional counterpart. We used eye tracking to investigate whether the code reading behaviour of developers differs between code that uses Machine Learning and code that does not. Our data shows that there are differences in what parts of the code people consider of interest and how they read it. This is a consequence of differences in both syntax and semantics of the code. This reading behaviour already shows that we cannot take existing solutions as universally applicable. In the future, methods that support Machine Learning must iterate on existing knowledge to meet the challenges of data-driven development."""
Munich) NT,Real-World Presence in the Era of Ubiquitous Computing,2021,,2021,http://dx.doi.org/10.1145/3411763.3443427,10.1145/3411763.3443427,"In the era of everyday ubiquitous computing, all of us have at least once lost track of time, space or our social environment when using our smartphone. In such situations, we might not feel present in the here and now in the physical real world. Presence has been a long term topic of interest in virtual reality research as the feeling of being there, in a technology-mediated virtual world. However, we have yet to understand our feeling of being here and now in the physical real world under the wide availability and easy accessibility of smartphones. In my thesis, I want to examine the concept of real-world presence from a theoretical, users’ and technology development perspective. I aim at understanding current and developing new mobile solutions, with the goal of supporting our presence in the physical real world."
,Artificially Intelligent Technology for the Margins: A Multidisciplinary Design Agenda,2021,,2021,http://dx.doi.org/10.1145/3411763.3441333,10.1145/3411763.3441333,"There has been increasing interest in socially just use of Artificial Intelligence (AI) and Machine Learning (ML) in the development of technology that may be extended to marginalized people. However, the exploration of such technologies entails the development of an understanding of how they may increase and/or counter marginalization. The use of AI/ML algorithms can lead to several challenges, such as privacy and security concerns, biases, unfairness, and lack of cultural awareness, which especially affect marginalized people. This workshop will provide a forum to share experiences and challenges of developing AI/ML health and social wellbeing technologies with/for marginalized people and will work towards developing design methods to engage in the re-envisioning of AI/ML technologies for and with marginalized people. In doing so we will create cross-research area dialogues and collaborations. These discussions build a basis to (1) explore potential tools to support designing AI/ML systems with marginalized people, and (2) develop a design agenda for future research and AI/ML technology for and with marginalized people."
,VRsneaky: Stepping into an Audible Virtual World with Gait-Aware Auditory Feedback,2021,,2021,http://dx.doi.org/10.1145/3334480.3383168,10.1145/3334480.3383168,
"(PsyErgo) DR,Group) JB,(PsyErgo) JH",Visual Interactive Privacy Policy: The Better Choice?,2021,,2021,http://dx.doi.org/10.1145/3411764.3445465,10.1145/3411764.3445465,"Online privacy policies should enable users to make informed decisions. Current text policies, however, lack usability: users often miss crucial information and consent to them without reading. Visual representation formats may increase comprehension, but are rarely used in practice. In an iterative design process we gathered qualitative feedback on typical policy contents and on existing and newly designed representation formats. We developed design guidelines and a Visual Interactive Privacy Policy based on the Privacy Policy Nutrition Label enriched with control options and further interactive elements. In an empirical evaluation, both visual representations received higher ratings of attractiveness, stimulation, novelty and transparency compared to a standard policy long text. Interactivity improved time spent with the policy. There were no effects on conversion rate, perceived control or perceived trust, efficiency and perspicuity. More research is needed, especially with regard to the cost-benefit ratio of visual privacy policies."
